HUL Code,HUL Outlet Name,Shikhar Onboarding,DETS ME Name,DETS Beat,FnR ME Name,FnR Beat,ECO,Shikhar
HUL-217701D-P17538,BISWAJIT GHOSH-D,NO,Sourav Das,D-NIMTALA STREET 2,0,,1594.8,0
HUL-217701D-P21980,BISWAJIT MAITY SHOP-D,NO,Subir Mondal,D-KHOTTA BAZAR-WHOLESALE,0,,0,0
HUL-217701D-P17523,BISWANATH STORES-D,NO,Sourav Das,D-D.C.M STREET,0,,729.4,0
HUL-217085D-PAR128,BOMBAY STORES-D-D,YES,Anjan Sarkar,D-BORTALA STREET 1,Md. Asraf Ashraf,F-BURTOLA RETAIL,5439.06,0
HUL-217701D-P11327,bramdav y,YES,Sandip Saha,D-DURGA CHARAN MITRA STREET,Rajesh Karmakar,F-DURGA CHARAN MITRA STREET,10250.97,0
HUL-217701D-P16813,BRIGHT INDIA-D,NO,0,,0,,0,0
HUL-217701D-P16918,BURO MA BHANDER-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,1940.55,0
WB70000702013,BUSINESS CENTRE-D-D,YES,Subir Mondal,D-RAJAKATRA - 2,0,,26019.61,12872.16
HUL-217701D-P13609,C P GUPTA-D,NO,Sunil Mullick,D-BAGBAZAR,0,,0,0
HUL-217085D-PAR130,C R Dutta-D-D,YES,S K Islam,D-B K PAUL,Koina Prasad,F-B.K.PAUL,3992.18,1559.25
HUL-217701D-P6816,C. K. TEA-D,YES,0,,Md. Asraf Ashraf,F-BAGREE MARKET,17570.74,0
HUL-217701D-P13062,C.N.MITRA & CO.-D,YES,0,,Soumik Ghosh,F-HASTINGS EXTRA,2046.36,2458.91
HUL-217701P22421,C.V.Voopen,YES,Sanjay Das,D-BAGREE,0,,15685.42,5400
WB70000102015,CALCUTTA COSMETIC CENTRE-D-D,YES,Sanjay Das,D-CANNING STREET,0,,200324.79,34827.67
HUL-217701P22456,Calcutta Creations,YES,0,,0,,0,136076.25
WB70000102016,CALCUTTA ENTERPRISE-D-D,YES,Sanjay Das,D-Canning 3,0,,30460.16,0
HUL-217085D-PAR233,CalcuttaTeaHouse-D-D,NO,Subir Mondal,D-JORABAGAN ST,Soumik Ghosh,F- NIMTALA GHAT STREET,2645.68,0
HUL-217701D-P12155,CENTRE STORES-D,NO,Sourav Das,D-MECHUA 1,0,,893.04,0
HUL-217701D-P21952,CHANDAN BANDAN BHANDER-D,NO,0,,0,,2365.33,0
HUL-217432D-C1,Chandi Charan Shadukhan-D-D,YES,Deepak Kumar Patel,D-BABU BAZAR 1,0,,639.15,3873.83
HUL-217085D-PAR136,Chandi Das Kundu & Brothers-D-D,YES,S K Islam,D-M G ROAD,Koina Prasad,F-M.G.ROAD,9591.92,0
HUL-217085D-PAR137,Chatterjee Brothers-D-D,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,24124.29,7506.36
HUL-217085D-PAR138,Chotelal Shaw-D-D,YES,S K Islam,D-M G ROAD,0,,1453.33,0
HUL-217085D-PAR133,CHOWRASIA GN STORES-D-D,YES,S K Islam,D-M G ROAD,Koina Prasad,F-M.G.ROAD,15561.71,0
HUL-217701D-P12140,CHOWRASIA PAN BHANDER-D,NO,Sourav Das,D-MECHUA 1,0,,709.59,0
HUL-217701D-P15469,Chyya St-D,YES,0,,Rajesh Karmakar,F-MECHUA 2,794.11,0
HUL-216252F-C217,CITY CENTRE-F-F,YES,0,,Koina Prasad,F-M.G.ROAD,2398.2,1051.78
HUL-217701D-P12690,CITY VARITY-D,NO,Sourav Das,D-KHOTTA BAZAR,0,,0,0
HUL-217701D-P17330,Classic Stores-D,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,1704.05,0
HUL-217701COUNTER,COUNTER SALES,NO,0,,0,,0,0
HUL-217701D-P15433,Cresent Foodies And Varites-D,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,2046.78,0
HUL-217085D-PAR143,D K Dutta-D-D,YES,Sourav Das,D-MECHUA 1,Rajesh Karmakar,F-MECHUA 2,4213.21,0
HUL-217701D-P13180,D M ENTERPRISE-D,YES,Sanjay Das,D-GANESH MKT,0,,24840.87,3022.73
HUL-217085D-PAR145,D M Stores-D-D,YES,Sandip Saha,D-B. M STREET,Debojyoti Ghosh,F-B M STREET,2333.06,0
HUL-217085D-P1087,D SADHUKHAN(ZAKARIA)-D-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,4487.4,1038.3
HUL-217085D-PAR146,D Sadhukhan-D-D,YES,Sourav Das,D-MECHUA 1,Rajesh Karmakar,F-MECHUA 2,6402.61,1391.94
HUL-217085D-PAR599,D. CHOWRASIA.-D-D,YES,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,3561.63,2196.33
WB70000102017,D.K ENTERPRISE-D-D,YES,Sanjay Das,D-Canning 3,0,,4529.41,12872.71
HUL-217701D-P13860,DAMODAR TRADERS-D,YES,0,,0,,0,0
HUL-217085D-PAR372,Das Enterprises-D-D,YES,Subir Mondal,D-JORABAGAN ST,0,,1528.93,4140.38
WB70000102018,DAS TRADING CO-D-D,YES,Sanjay Das,D-CANNING STREET,0,,5537.5,957759.84
HUL-217701D-P17268,Dasaratai Dus-D,YES,Sunil Mullick,D-R.D.STREET_COMM,0,,2859.76,0
WB70000550282,DAYAMANTRI STORE-F-D,YES,0,,Md. Asraf Ashraf,F-NATUNBAZAR 1,41741.35,0
HUL-217085D-P1082,DAYANANDA SHAW.-D-D,YES,Sandip Saha,D-D C MITRA STREET,Debojyoti Ghosh,F-D C M STREET,10616.97,4665.49
HUL-217701D-P17310,DEB TEA MART-D,YES,0,,Md. Asraf Ashraf,F-GUR PATTY,43761.09,0
HUL-217701D-P21532,Debi Lakshmi Stores-D,NO,0,,0,,699.93,0
WB70000102019,DESAI AGENCIES-D-D,YES,Sanjay Das,D-BAGREE,0,,29999.6,0
HUL-217701D-P17607,Devesri Store-D,NO,0,,0,,0,0
WB70000102021,DEVKI GENERAL STORES-D-D,YES,Sanjay Das,D-BAGREE,0,,46300.68,20496.57
HUL-217085D-PAR159,Dey Brothers-D-D,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,7872.35,2176.85
HUL-217701D-P16923,DEY STORES-D,YES,0,,0,,1758.35,0
HUL-217701D-P13614,DEY STORES-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,1117.04,0
HUL-217701D-P21379,"Dey,s Tea-D",NO,0,,Md. Asraf Ashraf,F-RAJAKATRA 3,21441.13,0
HUL-217085D-P1283,Dharmendra Singh-D-D,YES,S K Islam,D-HASTINGS,Soumik Ghosh,F-HASTINGS EXTRA,4723.3,1321.11
HUL-217701D-P15368,Dheerat Kumar-D,YES,Sandip Saha,D-DURGA CHARAN MITRA STREET,Debojyoti Ghosh,F-D C M STREET,0,0
HUL-217701D-P6751,Dhruba Tea Centre-D,NO,0,,Soumik Ghosh,F-INDIA EXCH. PLACE,0,0
HUL-217701D-P17113,Dilip Dutta-D,NO,Sourav Das,D-MECHUA 2,0,,3894.7,0
HUL-217701P22433,Dilip Shaw Stores,YES,Subir Mondal,D- NATUN BAZAR 3,0,,644.33,0
HUL-217701D-P17153,DILIP SHAW STORES-D,YES,0,,0,,0,0
HUL-217701D-P21756,Dinesh Kumar Mahesh Kumar-D,NO,Deepak Kumar Patel,D-DALPATTY,Md. Asraf Ashraf,F-DAL PATTY,5566.58,0
HUL-217701D-P7053,DINESH LAL MODI-D,NO,0,,0,,517.9,0
HUL-217085D-PAR160,Dinesh Shaw-D-D,YES,S K Islam,D-M G ROAD,Koina Prasad,F-M.G.ROAD,884.74,1303.69
HUL-217701D-P15082,Dinesh Stores-D,NO,0,,Rajesh Karmakar,F-NIMTALA 2,3499.98,0
HUL-217701D-P12015,DINKI STORES-D,YES,Subir Mondal,D- NATUN BAZAR 3,0,,0,0
HUL-217701D-P13165,DIPAK BHANDER-D,NO,Sourav Das,D-MECHUA 1,0,,0,0
HUL-217701D-P10022,DIPAK STORES-D,YES,Sourav Das,D-KHOTTA BAZAR,Debojyoti Ghosh,F-KHOTTA BAZAR,2362.32,2351.43
HUL-217701D-P13584,DIPAK STORES-D,YES,Sourav Das,D-ZAKARIA STREET,Koina Prasad,F-M.G.ROAD,21299.97,0
HUL-217085D-PAR161,Dipak Stores-D-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,901.22,0
HUL-217701D-P6504,Dipu Stores-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,8993,5056.97
HUL-217085D-P1057,DOUD BHAI-D-D,YES,S K Islam,D-BOW STREET (1)_COMM,0,,1861.85,0
HUL-217701D-P15459,Draupadi-D,YES,0,,Debojyoti Ghosh,F-CHATU BABU BAZAR,0,0
HUL-217701D-P14369,DUDH GANGA-D,YES,0,,Soumik Ghosh,F-BAG BAZAR,1217.26,0
HUL-217432D-D008,DURGA BHANDAR-D-D,YES,Deepak Kumar Patel,D-DALPATTY,Md. Asraf Ashraf,F-DAL PATTY,51193.3,56340.27
HUL-217085D-PAR165,Durga Sankar Stores-D-D,YES,Sandip Saha,D-B. M STREET,Debojyoti Ghosh,F-B M STREET,13097.6,1052.64
HUL-217085D-PAR169,DUTTA BROTHERS(B)-D-D,YES,Anjan Sarkar,D-M M TOLA 2,Rajesh Karmakar,F-M.M.TOLA 2,15661.47,1047.16
HUL-217432D-D100,DWARIK RANJAN PAL-D-D,YES,Deepak Kumar Patel,D-GUR PATTY,0,,743.32,0
HUL-217701D-P15313,Ehsan Stores-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,4365.82,0
HUL-217701D-P12230,EMCO PAPER-P,YES,Subir Mondal,D-JORABAGAN ST,0,,2172.75,0
HUL-217701D-P10057,EMPIRE STORES-D,NO,0,,0,,0,0
HUL-217085D-P1088,ENAMUL HAQUE-D-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,3789.07,5129.69
HUL-217085D-P1089,ESHANUL HAQUE-D-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,1683.66,0
HUL-217085D-PAR172,F C Dutta-D-D,YES,S K Islam,D-M G ROAD,Koina Prasad,F-M.G.ROAD,5549.54,1881.26
HUL-217701D-P15378,FAIYAZ STORE-D,YES,S K Islam,D-PHEARS LANE,Koina Prasad,F-PHEARS LANE,6485.38,2259.11
HUL-217701D-P15278,FALSAFA ENTERPRISE-D,NO,S K Islam,D-PHEARS LANE,Koina Prasad,F-PHEARS LANE,1736.54,0
HUL-217743P604,Fancy Light Stores-U2NC,YES,0,,0,,0,27618.76
HUL-217701D-P11187,FARUQ GENERAL STORES-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,6876.64,1076.36
HUL-217701D-P22029,FASH ON NISTA-D,NO,0,,0,,800.67,0
HUL-217701D-P21476,FOOD MART-D,YES,Subir Mondal,D-NATUN BAZAR-1,0,,1589.76,0
HUL-217701D-P17641,Four Square-U2NC,NO,0,,0,,996.5,0
HUL-217701D-P7355,FUNTOOSH COSMETICS-D,YES,Sanjay Das,D-BAGREE,0,,3272.69,42542.03
HUL-217085D-PAR173,G C Ghosh-D-D,YES,Sunil Mullick,D-KALAKAR STREET 2,Rajesh Karmakar,F-KALAKAR STREET 2,1344.9,0
HUL-217701D-P7148,G L GHOSH-D,YES,0,,Soumik Ghosh,F- R.D.SARKAR STREET,4592.4,3447.46
HUL-217701D-P21343,G T STORES-D,NO,0,,0,,1784.02,0
HUL-217701D-P12310,G.C.SETH-D,NO,0,,Koina Prasad,F-M.G.ROAD,0,0
HUL-217432D-G001,G.P.PAUL-D-D,YES,Deepak Kumar Patel,D-BABU BAZAR 1,Md. Asraf Ashraf,F-DAL PATTY,7228.5,6665.24
HUL-217701D-P16323,Gaitri Stores-D,YES,Deepak Kumar Patel,D-BABU BAZAR 2,0,,456.22,0
HUL-217701D-P16216,Gambhir Enterprise-D,NO,0,,0,,23309.57,0
WB70000660754,Ganapati Stores(SVS)-D-D,YES,Subir Mondal,D-NATUN BAZAR-1,Md. Asraf Ashraf,F-NATUNBAZAR 1,53830.08,26639.31
HUL-217701D-P17886,GANAPATI STORES-D,YES,Deepak Kumar Patel,D-RAJAKATRA - 3_COMM,0,,0,0
HUL-217701D-P13458,GANAPATI STORES-D,YES,Deepak Kumar Patel,D-BABU BAZAR 2,0,,2318.82,1761.12
HUL-217085D-PAR177,Gandeshwari Bhandar(Ahiritola)-D-D,YES,S K Islam,D-B K PAUL,Koina Prasad,F-B.K.PAUL,5944.57,8977.04
HUL-217701D-P7068,GANESH BHANDER-D,NO,0,,0,,863.61,0
HUL-217701D-P21679,Ganesh Bhander-D,NO,0,,0,,740.11,0
HUL-217432D-G010,GANESH BHANDER-D-D,YES,0,,Md. Asraf Ashraf,F-DAL PATTY,2027.58,0
HUL-217701D-P21637,Ganesh Cosmetics-D,NO,0,,0,,0,0
HUL-217085D-PAR183,Ganesh Khadya Bhandar-D-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,4986.79,844.5
HUL-217701D-P15363,Ganesh Saha-D,YES,0,,Debojyoti Ghosh,F-M M TALA,953.53,0
HUL-217085D-PAR184,Ganesh Shaw-D-D,NO,Anjan Sarkar,D-M M TOLA 2,0,,963.98,0
HUL-217701D-P22340,Ganesh Store-D,NO,0,,Md. Asraf Ashraf,F-BURTOLA RETAIL,0,0
HUL-217085D-P1006,GANESH STORES(BOW2)-D-D,NO,S K Islam,D-BOW STREET(2)_COMM,0,,0,0
HUL-217085D-PAR189,Ganga Shaw-D-D,YES,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,10504.49,0
HUL-217085D-PAR190,Gaytri Stores-D-D,NO,Sandip Saha,D-NIMTALA GHAT STREET,Debojyoti Ghosh,F-KHOTTA BAZAR,1003.17,0
WB70000702330,GEETA TRADERS-D-D,YES,Sanjay Das,D-RAJAKATRA 5,Md. Asraf Ashraf,F-RAJA KATRA,0,137062.01
HUL-217701D-P12280,GENERAL STORES-D,YES,0,,Koina Prasad,F-PHEARS LANE,1304.35,0
HUL-217085D-P3660,GHAR SANSAR-D-D,YES,Subir Mondal,D-NATUN BAZAR-1,Md. Asraf Ashraf,F-NATUNBAZAR 1,18906.24,20918.59
HUL-217701D-P10112,GHAR SANSER-D,YES,Sourav Das,D-MECHUA 1,0,,584.83,0
HUL-217701D-P6615,GHOSH BROTHERS-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F-BOW STREET 2,943.26,0
HUL-217701D-P21770,GHOSH STORES-D,NO,0,,0,,5596.38,0
HUL-217085D-PAR192,GIRIJA STORES-D-D,YES,Anjan Sarkar,D-BORTALA STREET 1,Md. Asraf Ashraf,F-BURTOLA RETAIL,3048.76,0
HUL-217701D-P12798,GITA BAG HOUSE & COSMETICS-D,YES,Sanjay Das,D-CANNING STREET 1,0,,18974.76,4320
HUL-217701D-P8436,Gita Cosmetic-D,NO,Sanjay Das,D-CANNING STREET 1,0,,1812.23,0
HUL-217701P22450,Golden Tea Co,NO,0,,0,,0,0
HUL-217701D-P22225,Gopal Chand Bhuja St-D,YES,0,,Rajesh Karmakar,F-KALAKAR STREET 2,1607.47,0
HUL-217701D-P15941,Gopal das-D,NO,S K Islam,D-BOW STREET(2)_COMM,0,,9843.77,0
HUL-217085D-P1247,Gopal Shaoo-D-D,YES,Anjan Sarkar,D-RAM MANDIR,0,,2541.66,0
HUL-217701D-P17350,GOUR GOPAL MARKETING-D,YES,Sandip Saha,D-NIMTALA GHAT STREET,Soumik Ghosh,F- NIMTALA GHAT STREET,916.21,0
HUL-217085D-PAR197,Gouranga Stores-D-D,YES,S K Islam,D-B K PAUL,Koina Prasad,F-B.K.PAUL,7784.5,1180.65
HUL-217701D-P11960,GOURI SANKAR SHAW-D,YES,0,,0,,810.6,0
HUL-217701D-P13345,GOUTAMS-D,YES,Sourav Das,D-D.C.M STREET,0,,5274.36,574.82
HUL-217701D-P11192,GOVIDO SHAW-D,YES,S K Islam,D-BOW STREET (1)_COMM,Koina Prasad,F- BOW STREET 1,1463.39,0
HUL-217085D-P811,GREEN STORES-D-D,YES,Sourav Das,D-ZAKARIA STREET,Rajesh Karmakar,F-COLOOTOLA,10365.26,2947.39
HUL-217085D-P1163,GRIHA LAXMI STORES-D-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,9100.97,0
HUL-217085D-PAR200,Grihast Provision-D-D,YES,Sourav Das,D-KHOTTA BAZAR,Debojyoti Ghosh,F-KHOTTA BAZAR,4445.5,0
HUL-217701D-P17218,GUDDU STORE-D,NO,Anjan Sarkar,D-BORTALA STREET 1,0,,1939.33,0
HUL-216252F-1765,GUIN TEA HOUSE (CH.BABU BZ.)-F-D,YES,0,,Soumik Ghosh,F- R.D.SARKAR STREET,925.88,0
HUL-217701D-P15253,GULAB CHAND SHAW-D,YES,Sunil Mullick,D-INDIA EXCHANGE PLACE_COMM,0,,1462.19,0
HUL-217701D-P16313,Gulap Shaw Gupta-D,YES,0,,0,,0,0
HUL-217432D-G012,GULZARI LAL & CO.-D-D,YES,Sanjay Das,D-CANNING STREET 1,Md. Asraf Ashraf,F-BAGREE MARKET,51499.88,0
HUL-217085D-PAR205,GUPTA STORES-D-D,YES,Anjan Sarkar,D-M M TALA_COMM,Debojyoti Ghosh,F-M M TALA,7923.47,0
HUL-217085D-PAR206,Gupta Bhandar-D-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,2485.47,0
HUL-217085D-PAR207,GUPTA BROTHERS-D-D,YES,Sunil Mullick,D-INDIA EXCHANGE PLACE_COMM,Soumik Ghosh,F-INDIA EXCH. PLACE,-224.59,0
HUL-217701D-P15283,Gupta Communication-D,YES,Sandip Saha,D-NIMTALA GHAT STREET,Soumik Ghosh,F- NIMTALA GHAT STREET,1713.35,0
HUL-217432D-G011,GUPTA FLOUR MILL-D-D,YES,Deepak Kumar Patel,D-DALPATTY,Md. Asraf Ashraf,F-DAL PATTY,6960.64,11098.18
HUL-217701D-P14334,GUPTA PAN SHOP-D,YES,Sandip Saha,D-KALAKAR STREET,0,,997.86,0
HUL-217701D-P15511,Gupta St-D,YES,Sandip Saha,D-KALAKAR STREET,Rajesh Karmakar,F-KALAKAR STREET 2,11795.65,0
HUL-217701D-P17283,Gupta St-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,Debojyoti Ghosh,F-CHATU BABU BAZAR,661.87,0
HUL-217701D-P17083,Gupta Stores-D,NO,0,,0,,860.8,0
HUL-217701D-P15293,Gupta Stores-D,YES,Sourav Das,D-D.C.M STREET,0,,2464.24,0
HUL-217701D-P8922,Gupta Stores-D,YES,Sourav Das,D-NIMTALA STREET 2,Rajesh Karmakar,F-NIMTALA 2,5011.98,0
WB70000702024,GUPTA STORES-D-D,YES,Sanjay Das,D-GANESH MKT,0,,19849.46,11156.26
HUL-217085D-PAR210,GUPTA STORES-D-D(kalakar),YES,Sandip Saha,D-KALAKAR STREET,Rajesh Karmakar,F-KALAKAR STREET 2,1785.74,0
HUL-217085P-P3621,GUPTA STORES-P(BOW-1)-D,YES,S K Islam,D-BOW STREET (1)_COMM,Koina Prasad,F- BOW STREET 1,16532.74,1718.94
HUL-217085D-PAR212,Gupta Trading-D-D,YES,Subir Mondal,D- NATUN BAZAR 3,Soumik Ghosh,F-NATUNBAZAR 2,1241.52,0
HUL-217085D-P694,GUPTA VAREITY STORES.-D-D,YES,Sandip Saha,D-D C MITRA STREET,Debojyoti Ghosh,F-D C M STREET,4681.91,0
HUL-217701P22418,GURU PADA DEY &SONS,NO,Sanjay Das,D-GANESH MKT,0,,15246.73,9111.36
WB70000702025,GURUPADA DEY-D-D,YES,0,,0,,1291.68,0
HUL-217085D-PAR214,H M GHOSH-D-D,YES,Anjan Sarkar,D-M M TOLA 2,Rajesh Karmakar,F-M.M.TOLA 2,4892.33,0
HUL-217085D-PAR215,H P Gupta-D-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,Debojyoti Ghosh,F-CHATU BABU BAZAR,4255.94,0
HUL-217701D-P21658,H. P. L. K. ENTERPRISES-D,YES,Sanjay Das,D-CANNING STREET,0,,96352.07,60752.69
HUL-217085D-P3516,HAIDER ALI - D-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,0,,1567.11,544.68
HUL-217085D-PAR216,HALDER BROTHERS-D-D,YES,Sunil Mullick,D-INDIA EXCHANGE PLACE_COMM,Soumik Ghosh,F-INDIA EXCH. PLACE,5901.77,5491.68
HUL-217085D-PAR217,HANUMANBHANDER-D-D,YES,S K Islam,D-M G ROAD,Rajesh Karmakar,F-MECHUA 2,27768.5,6931.59
HUL-217085D-P809,HARESH SHAH-D-D,YES,Sourav Das,D-ZAKARIA STREET,Koina Prasad,F-M.G.ROAD,9857.1,1201.76
HUL-217085D-PAR221,Hari Das Saha-D-D,YES,Sunil Mullick,D-BAGBAZAR,Soumik Ghosh,F-BAG BAZAR,4966.89,1334.85
HUL-217085D-PAR222,Hari Om Bhandar-D-D,YES,Sourav Das,D-MECHUA 2,Rajesh Karmakar,F-MECHUA 2,7012.42,1853.97
HUL-217701D-P13200,HARI PRASAD YADAV-D,YES,0,,0,,0,0
HUL-216788P1145,HEERA-D_U2NC,YES,Sunil Mullick,D-KALAKAR STREET 2,0,,5385.63,0
HUL-217701D-P11377,hena stores-D,YES,Sourav Das,D-ZAKARIA STREET,Rajesh Karmakar,F-COLOOTOLA,4581.04,1987.29
HUL-217701P-P4362,HIND ARTS-P-Nuts,YES,0,,0,,2298.5,0
HUL-217432D-H002,HIRA LAL MOTI LAL OM PRAKASH-D-D,YES,Deepak Kumar Patel,D-BABU BAZAR 1,0,,10867.3,5146.13
HUL-217701D-P17158,Hira Lal Store-D,YES,Sourav Das,D-KHOTTA BAZAR,Debojyoti Ghosh,F-KHOTTA BAZAR,8933.18,0
HUL-217701D-P10922,HIRALAL SHAW-D,NO,Subir Mondal,D-KHOTTA BAZAR-WHOLESALE,0,,0,0
WB70000120650,HITTEN TRADERS-D_U2NC,YES,0,,0,,0,0
HUL-217701D-P16081,I Ahmed-D,NO,0,,0,,0,0
HUL-216252F-C276,I.D.GUPTA-F-D,YES,Subir Mondal,D-JORABAGAN ST,Debojyoti Ghosh,F-KHOTTA BAZAR,3248.32,5280.39
HUL-217432P-P299,ICHHA STORES-P-D,NO,0,,0,,793.16,0
HUL-217701D-P17820,Ichhamoyee stores-D,YES,0,,Soumik Ghosh,F- R.D.SARKAR STREET,922.9,0
HUL-217701D-P17758,INDEGENEOUS ENTERPRISES-D,YES,Sunil Mullick,D-INDIA EXCHANGE PLACE_COMM,0,,0,0
HUL-217701D-P15663,India Tea & Trading Co-D,YES,0,,Soumik Ghosh,F-INDIA EXCH. PLACE,22145.02,13054.2
HUL-217701D-P14112,INDIA TRADING-P-D,YES,0,,0,,1151.94,0
HUL-217701P-P4309,INDRADHONI-P,NO,S K Islam,D-B K PAUL,0,,0,0
HUL-217701D-P11072,ISHA STORES-D,YES,0,,Rajesh Karmakar,F-DURGA CHARAN MITRA STREET,465.46,-521.76
HUL-217701D-P12871,ISHAN TRADERS-D,NO,Deepak Kumar Patel,D-RAJAKATRA - 1,0,,10127.18,0
HUL-217701D-P17345,ISHAN TRADING.-D,NO,0,,0,,730.94,0
HUL-217701D-P14977,Ishani-U2NC,YES,0,,0,,1001.6,0
HUL-217701D-P12991,ISWER SREE DHAR SHANKAR BHANDER-D,YES,0,,0,,0,1894.52
HUL-217701D-P17488,J N SINGH ROY-D,NO,0,,Md. Asraf Ashraf,F-RAJAKATRA 3,3237.92,0
HUL-217701D-P15198,J P Stores-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,27466.25,0
HUL-215889P00083,J.B.PAUL & SONS-D_U2NC,YES,Sanjay Das,D-BAGREE,0,,1125.33,21600
WB70000102029,J.D.TRADING CO.-D-D,YES,0,,0,,213.63,0
HUL-217701D-P12660,JAGAN NATH STORES-D,YES,0,,Soumik Ghosh,F-BAG BAZAR,3108.63,0
HUL-217701D-P22204,Jaganath Prosad Store-D,NO,S K Islam,D-B K PAUL,Koina Prasad,F-B.K.PAUL,2662.87,0
HUL-217701D-P14198,Jagannath Agency-D,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,0,0
HUL-217701D-P21616,Jagannath Bhandar-U2NC,NO,0,,0,,2926.85,0
HUL-217701D-P15147,Jagannath Chourasia-D,YES,Sourav Das,D-ZAKARIA STREET,Koina Prasad,F-M.G.ROAD,6796.4,7028.94
HUL-217701D-P11420,JAGANNATH PAUL-D,NO,Sunil Mullick,D-AHARITOLA,0,,1154.83,1627.29
HUL-216252F-P1952,JAGANNATH PRASAD(B.K.PAUL)-F-D,YES,Sunil Mullick,D- D.C. M. STREET 2,Debojyoti Ghosh,F-D C M STREET,3636.94,2442.71
HUL-217701D-P4432,Jagannath Store--IC-D,YES,Sunil Mullick,D-KALAKAR STREET 2,Rajesh Karmakar,F-KALAKAR STREET 2,15171.08,3112.49
HUL-217701D-P11012,JAGANNATH STORES-D,NO,Anjan Sarkar,D-M M TOLA 2,0,,5178.42,0
HUL-217701D-P16851,Jagnani-D,YES,Sourav Das,D-D.C.M STREET,Rajesh Karmakar,F-DURGA CHARAN MITRA STREET,1796.67,0
HUL-217701D-P15243,Jai Baba Bhutnath Stores-D,YES,Sandip Saha,D-NIMTALA GHAT STREET,Soumik Ghosh,F- NIMTALA GHAT STREET,1528.34,0
HUL-217085D-PAR528,JAI BABA BHUTNATH-D-D,YES,Sandip Saha,D-NIMTALA GHAT STREET,Soumik Ghosh,F- NIMTALA GHAT STREET,2348.78,-1052.64
HUL-217701D-P14917,Jai Guru Dev Stores-D,YES,Sunil Mullick,D-KALAKAR STREET 2,0,,2563.06,0
HUL-217085D-PAR218_1,Jai Hanuman Stores-D-D,YES,Sandip Saha,D-KALAKAR STREET,Md. Asraf Ashraf,F-BURTOLA RETAIL,29936.16,8448.42
HUL-217701D-P17513,JAI MAA DURGA STORES-D,NO,Sourav Das,D-NIMTALA STREET 2,0,,0,0
HUL-217085D-PAR89,JAI MATA DI -D-D,YES,Anjan Sarkar,D-M M TOLA 2,Rajesh Karmakar,F-M.M.TOLA 2,9363.83,0
HUL-217701D-P15479,Jai Mata Di-D,YES,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,919.13,1036.03
HUL-217701D-P21386,Jai Mata Di-D,NO,0,,0,,430.79,0
HUL-217701D-P21483,Jai Matadi Stores,NO,0,,0,,1602.88,0
HUL-217701D-P11637,JAI PRAKASH GUPTA-D,NO,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F- BOW STREET 1,2768.37,0
HUL-217701D-P14942,Jai Swallow Stores-D,NO,0,,0,,1062.27,0
HUL-217701D-P14404,JAIN And SONS-D,YES,Subir Mondal,D- NATUN BAZAR 3,0,,7444.79,0
HUL-217701D-P22190,Jain Chat Bhander-D,YES,0,,Rajesh Karmakar,F-KALAKAR STREET 2,1222.56,0
